t,led,rgb
2.726083750000000,5,#000000
2.726113750000000,6,#7f7f7f
2.726143750000000,7,#000000
2.726173750000000,8,#000000
2.726203750000000,9,#7f7f7f
2.726233833333333,10,#000000
2.726263833333333,11,#000000
2.726293833333334,12,#7f7f7f
2.776461666666667,0,#000000
2.776491666666667,1,#7f7f7f
2.776521750000000,2,#000000
2.776551750000000,3,#000000
2.776581750000000,4,#7f7f7f
2.776611750000000,5,#000000
2.776641750000000,6,#000000
2.776671833333333,7,#7f7f7f
2.776701833333334,8,#000000
2.776731833333333,9,#000000
2.776761833333333,10,#7f7f7f
2.776791833333333,11,#000000
2.776821833333333,12,#000000
2.826984250000000,0,#000000
2.827014250000000,1,#000000
2.827044250000000,2,#7f7f7f
2.827074250000000,3,#000000
2.827104250000000,4,#000000
2.827134333333333,5,#7f7f7f
2.827164333333333,6,#000000
2.827194333333333,7,#000000
2.827224333333333,8,#7f7f7f
2.827254333333333,9,#000000
2.827284416666667,10,#000000
2.827314416666667,11,#7f7f7f
2.827344416666667,12,#000000
2.877503416666667,0,#7f7f7f
2.877533416666667,1,#000000
2.877563416666667,2,#000000
2.877593416666667,3,#7f7f7f
2.877623416666667,4,#000000
2.877653416666667,5,#000000
2.877683500000000,6,#7f7f7f
2.877713500000000,7,#000000
2.877743500000000,8,#000000
2.877773500000000,9,#7f7f7f
2.877803500000000,10,#000000
2.877833583333334,11,#000000
2.877863583333333,12,#7f7f7f
2.928023250000000,0,#000000
2.928053250000000,1,#7f7f7f
2.928083250000000,2,#000000
2.928113250000000,3,#000000
2.928143333333333,4,#7f7f7f
2.928173333333334,5,#000000
2.928203333333333,6,#000000
2.928233333333333,7,#7f7f7f
2.928263333333333,8,#000000
2.928293416666667,9,#000000
2.928323416666667,10,#7f7f7f
2.928353416666666,11,#000000
2.928383416666667,12,#000000
2.978546083333333,0,#000000
2.978576083333333,1,#000000
2.978606083333333,2,#7f7f7f
2.978636166666667,3,#000000
2.978666166666667,4,#000000
2.978696166666666,5,#7f7f7f
2.978726166666667,6,#000000
2.978756166666667,7,#000000
2.978786250000000,8,#7f7f7f
2.978816250000000,9,#000000
2.978846250000000,10,#000000
2.978876250000000,11,#7f7f7f
2.978906250000000,12,#000000
3.029066166666667,0,#7f7f7f
3.029096166666667,1,#000000
3.029126250000000,2,#000000
3.029156250000000,3,#7f7f7f
3.029186250000000,4,#000000
3.029216250000000,5,#000000
3.029246250000000,6,#7f7f7f
3.029276250000000,7,#000000
3.029306333333333,8,#000000
3.029336333333333,9,#7f7f7f
3.029366333333333,10,#000000
3.029396333333333,11,#000000
3.029426333333333,12,#7f7f7f
3.079582083333333,0,#000000
3.079612083333333,1,#7f7f7f
3.079642166666666,2,#000000
3.079672166666667,3,#000000
3.079702166666667,4,#7f7f7f
3.079732166666667,5,#000000
3.079762166666667,6,#000000
3.079792166666667,7,#7f7f7f
3.079822250000000,8,#000000
3.079852250000000,9,#000000
3.079882250000000,10,#7f7f7f
3.079912250000000,11,#000000
3.079942250000000,12,#000000
3.130104916666667,0,#000000
3.130135000000000,1,#000000
3.130165000000000,2,#7f7f7f
3.130195000000000,3,#000000
3.130225000000000,4,#000000
3.130255000000000,5,#7f7f7f
3.130285083333333,6,#000000
3.130315083333334,7,#000000
3.130345083333333,8,#7f7f7f
3.130375083333333,9,#000000
3.130405083333333,10,#000000
3.130435166666667,11,#7f7f7f
3.130465166666667,12,#000000
3.180625583333333,0,#7f7f7f
3.180655583333333,1,#000000
3.180685666666667,2,#000000
3.180715666666666,3,#7f7f7f
3.180745666666667,4,#000000
3.180775666666666,5,#000000
3.180805666666667,6,#7f7f7f
3.180835750000000,7,#000000
3.180865750000000,8,#000000
3.180895750000000,9,#7f7f7f
3.180925750000000,10,#000000
3.180955750000000,11,#000000
3.180985833333333,12,#7f7f7f
3.231146250000000,0,#000000
3.231176250000000,1,#7f7f7f
3.231206250000000,2,#000000
3.231236250000000,3,#000000
3.231266250000000,4,#7f7f7f
3.231296333333333,5,#000000
3.231326333333334,6,#000000
3.231356333333333,7,#7f7f7f
3.231386333333333,8,#000000
3.231416333333333,9,#000000
3.231446416666667,10,#7f7f7f
3.231476416666667,11,#000000
3.231506416666666,12,#000000
3.281677416666667,0,#000000
3.281707416666667,1,#000000
3.281737416666667,2,#7f7f7f
3.281767416666667,3,#000000
3.281797416666667,4,#000000
3.281827500000000,5,#7f7f7f
3.281857500000000,6,#000000
3.281887500000000,7,#000000
3.281917500000000,8,#7f7f7f
3.281947500000000,9,#000000
3.281977583333333,10,#000000
3.282007583333333,11,#7f7f7f
3.282037583333334,12,#000000
3.332197250000000,0,#7f7f7f
3.332227250000000,1,#000000
3.332257250000000,2,#000000
3.332287250000000,3,#7f7f7f
3.332317333333333,4,#000000
3.332347333333333,5,#000000
3.332377333333334,6,#7f7f7f
3.332407333333333,7,#000000
3.332437333333333,8,#000000
3.332467333333333,9,#7f7f7f
3.332497416666667,10,#000000
3.332527416666667,11,#000000
3.332557416666666,12,#7f7f7f
3.382712583333333,0,#000000
3.382742583333334,1,#7f7f7f
3.382772583333333,2,#000000
3.382802666666667,3,#000000
3.382832666666667,4,#7f7f7f
3.382862666666667,5,#000000
3.382892666666667,6,#000000
3.382922666666667,7,#7f7f7f
3.382952750000000,8,#000000
3.382982750000000,9,#000000
3.383012750000000,10,#7f7f7f
3.383042750000000,11,#000000
3.383072750000000,12,#000000
3.433240416666667,0,#000000
3.433270416666667,1,#000000
3.433300416666667,2,#7f7f7f
3.433330416666667,3,#000000
3.433360416666666,4,#000000
3.433390500000000,5,#7f7f7f
3.433420500000000,6,#000000
3.433450500000000,7,#000000
3.433480500000000,8,#7f7f7f
3.433510500000000,9,#000000
3.433540583333333,10,#000000
3.433570583333333,11,#7f7f7f
